                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
59,0.65361,0.49539,1.0387,0.97049,0.94011,0.98069,0.88872,0.39807,0.22271,0.83122,0.0008086,0.0008086,0.0008086
60,0.65382,0.49315,1.0361,0.97104,0.94034,0.98097,0.88959,0.39674,0.22081,0.83042,0.0008053,0.0008053,0.0008053
61,0.65117,0.49092,1.0346,0.97154,0.94114,0.98111,0.88995,0.39574,0.21969,0.82959,0.000802,0.000802,0.000802
62,0.64946,0.49115,1.0369,0.97023,0.94218,0.98126,0.89054,0.39461,0.21851,0.82873,0.0007987,0.0007987,0.0007987
63,0.64723,0.49027,1.0362,0.96824,0.94557,0.98147,0.89103,0.39357,0.21753,0.8281,0.0007954,0.0007954,0.0007954
64,0.64726,0.48494,1.0323,0.97124,0.94393,0.98163,0.89141,0.39249,0.21676,0.82742,0.0007921,0.0007921,0.0007921
65,0.64505,0.48407,1.0288,0.9753,0.94103,0.98177,0.89217,0.39152,0.21597,0.82676,0.0007888,0.0007888,0.0007888
66,0.64495,0.48139,1.0305,0.9739,0.94275,0.98203,0.89241,0.39053,0.21482,0.82598,0.0007855,0.0007855,0.0007855
67,0.64092,0.4792,1.0289,0.97359,0.943,0.98216,0.89334,0.38944,0.21362,0.82526,0.0007822,0.0007822,0.0007822
68,0.64065,0.47622,1.0288,0.97511,0.94227,0.98238,0.89402,0.38846,0.21269,0.82467,0.0007789,0.0007789,0.0007789
69,0.63796,0.47626,1.0284,0.96877,0.94858,0.98257,0.89429,0.38775,0.21171,0.82428,0.0007756,0.0007756,0.0007756
70,0.63972,0.47187,1.0232,0.97101,0.9483,0.98288,0.8952,0.38704,0.21056,0.82376,0.0007723,0.0007723,0.0007723
71,0.63769,0.47186,1.0225,0.97042,0.94972,0.98306,0.89549,0.38624,0.20977,0.82328,0.000769,0.000769,0.000769
72,0.63638,0.46849,1.0206,0.97102,0.95046,0.98337,0.89613,0.38558,0.209,0.82259,0.0007657,0.0007657,0.0007657
73,0.63338,0.46907,1.0214,0.97068,0.95112,0.98353,0.89608,0.38491,0.20847,0.82208,0.0007624,0.0007624,0.0007624
74,0.63361,0.46592,1.0199,0.9733,0.94955,0.98369,0.89679,0.38417,0.20768,0.8214,0.0007591,0.0007591,0.0007591
75,0.62831,0.46216,1.02,0.97356,0.95061,0.98388,0.8973,0.38324,0.2069,0.8207,0.0007558,0.0007558,0.0007558
76,0.63085,0.46803,1.0242,0.97232,0.952,0.98403,0.89799,0.38236,0.20582,0.82006,0.0007525,0.0007525,0.0007525
77,0.62756,0.46335,1.0204,0.97394,0.95162,0.9843,0.89817,0.38185,0.20499,0.81947,0.0007492,0.0007492,0.0007492
78,0.62896,0.4645,1.0239,0.97409,0.95246,0.98444,0.89841,0.38099,0.20402,0.81893,0.0007459,0.0007459,0.0007459
79,0.62408,0.46395,1.0178,0.9748,0.95238,0.98463,0.89882,0.38027,0.20332,0.8183,0.0007426,0.0007426,0.0007426
80,0.6284,0.46492,1.0207,0.97528,0.95189,0.98475,0.8994,0.37955,0.20225,0.8178,0.0007393,0.0007393,0.0007393
81,0.62318,0.45875,1.0187,0.97458,0.95162,0.98493,0.89982,0.37868,0.20145,0.81723,0.000736,0.000736,0.000736
82,0.62387,0.4539,1.0148,0.97588,0.95079,0.98518,0.90023,0.37763,0.2008,0.81667,0.0007327,0.0007327,0.0007327
83,0.623,0.45604,1.0135,0.97792,0.9504,0.98524,0.9008,0.37677,0.19982,0.81605,0.0007294,0.0007294,0.0007294
84,0.61862,0.45256,1.0149,0.97849,0.94988,0.98537,0.90124,0.37602,0.19953,0.81551,0.0007261,0.0007261,0.0007261
85,0.62105,0.45527,1.0145,0.97686,0.95128,0.98546,0.90165,0.37544,0.19895,0.81493,0.0007228,0.0007228,0.0007228
86,0.61633,0.45215,1.0137,0.97709,0.95114,0.98567,0.90239,0.37464,0.19819,0.81433,0.0007195,0.0007195,0.0007195
87,0.61654,0.44899,1.0125,0.9775,0.95234,0.98608,0.90281,0.37368,0.19731,0.81373,0.0007162,0.0007162,0.0007162
88,0.61391,0.44707,1.0087,0.97665,0.95382,0.98607,0.90326,0.37319,0.19659,0.81334,0.0007129,0.0007129,0.0007129
89,0.61727,0.44705,1.0092,0.97694,0.9542,0.98624,0.9039,0.37252,0.19612,0.81287,0.0007096,0.0007096,0.0007096
90,0.6114,0.44318,1.0058,0.97727,0.95394,0.98651,0.90423,0.37211,0.19557,0.81248,0.0007063,0.0007063,0.0007063
91,0.61226,0.44474,1.0071,0.97758,0.95373,0.98658,0.90463,0.3717,0.19498,0.8121,0.000703,0.000703,0.000703
92,0.60729,0.43999,1.0011,0.97844,0.95324,0.9866,0.90521,0.37099,0.19453,0.81157,0.0006997,0.0006997,0.0006997
93,0.60687,0.44063,1.004,0.97919,0.95418,0.98672,0.90547,0.37031,0.19392,0.81103,0.0006964,0.0006964,0.0006964
94,0.60507,0.43928,1.004,0.97945,0.9545,0.98699,0.90561,0.36972,0.19335,0.81066,0.0006931,0.0006931,0.0006931
95,0.60874,0.43893,1.0053,0.97925,0.95536,0.98702,0.90605,0.3694,0.193,0.81031,0.0006898,0.0006898,0.0006898
96,0.60522,0.44126,1.008,0.9783,0.95635,0.98709,0.9067,0.36901,0.1924,0.81,0.0006865,0.0006865,0.0006865
97,0.60608,0.43519,1.0066,0.97877,0.95675,0.98718,0.90683,0.36855,0.19216,0.80968,0.0006832,0.0006832,0.0006832
98,0.60431,0.43713,1.0079,0.97729,0.95814,0.98717,0.90701,0.36823,0.19173,0.80935,0.0006799,0.0006799,0.0006799
99,0.59874,0.434,1.0046,0.97842,0.95706,0.98733,0.90734,0.36752,0.19121,0.80901,0.0006766,0.0006766,0.0006766
100,0.59969,0.43159,1.0023,0.97605,0.95994,0.98738,0.9074,0.3671,0.19082,0.80864,0.0006733,0.0006733,0.0006733
101,0.60067,0.43285,1.0043,0.97576,0.96004,0.98747,0.90792,0.36643,0.19015,0.80822,0.00067,0.00067,0.00067
102,0.60055,0.43226,1.0027,0.9762,0.96017,0.9875,0.90811,0.36607,0.18985,0.80786,0.0006667,0.0006667,0.0006667
103,0.59985,0.43108,1.0026,0.97517,0.96159,0.98758,0.90813,0.36551,0.18926,0.80736,0.0006634,0.0006634,0.0006634
104,0.59822,0.42543,0.99904,0.9759,0.96135,0.9876,0.90859,0.3651,0.18889,0.80684,0.0006601,0.0006601,0.0006601
105,0.59759,0.42531,0.99782,0.97661,0.96164,0.98779,0.90889,0.36449,0.18853,0.8064,0.0006568,0.0006568,0.0006568
106,0.59581,0.4283,0.99787,0.97696,0.96223,0.98773,0.90907,0.36405,0.18823,0.80613,0.0006535,0.0006535,0.0006535
107,0.59256,0.42269,0.99712,0.97789,0.96142,0.98773,0.90954,0.36341,0.1878,0.80585,0.0006502,0.0006502,0.0006502
108,0.59571,0.4276,1.0028,0.97842,0.96212,0.98801,0.90986,0.36285,0.18753,0.80559,0.0006469,0.0006469,0.0006469
109,0.59678,0.42675,1.0029,0.97864,0.96194,0.98807,0.91001,0.3623,0.18731,0.80527,0.0006436,0.0006436,0.0006436
110,0.59172,0.42179,1.001,0.97894,0.96219,0.98838,0.91043,0.36192,0.18698,0.80505,0.0006403,0.0006403,0.0006403
111,0.59015,0.42116,1.0013,0.97805,0.96353,0.98834,0.91091,0.36137,0.18667,0.80477,0.000637,0.000637,0.000637
112,0.58944,0.42046,0.99756,0.97756,0.96477,0.98838,0.91101,0.36099,0.18619,0.80446,0.0006337,0.0006337,0.0006337
113,0.58984,0.41906,0.99687,0.9773,0.96513,0.98836,0.91133,0.36059,0.18584,0.80408,0.0006304,0.0006304,0.0006304
114,0.5887,0.41734,0.99819,0.97792,0.96538,0.98846,0.91153,0.36018,0.18546,0.80368,0.0006271,0.0006271,0.0006271
115,0.58617,0.41857,0.99553,0.97831,0.96485,0.98857,0.91173,0.35959,0.18456,0.80365,0.0006238,0.0006238,0.0006238
116,0.58875,0.41892,0.99672,0.97894,0.96426,0.98863,0.91204,0.3593,0.18419,0.80328,0.0006205,0.0006205,0.0006205
117,0.58426,0.41398,0.99144,0.97895,0.96418,0.98871,0.91212,0.35848,0.18384,0.80286,0.0006172,0.0006172,0.0006172
118,0.58545,0.41564,0.9957,0.97842,0.96482,0.98879,0.91247,0.35788,0.18316,0.80246,0.0006139,0.0006139,0.0006139
119,0.58325,0.4125,0.99261,0.97732,0.96602,0.9889,0.91295,0.35743,0.18275,0.80216,0.0006106,0.0006106,0.0006106
120,0.58458,0.40844,0.99357,0.97844,0.96556,0.98902,0.91308,0.35701,0.18257,0.80185,0.0006073,0.0006073,0.0006073
121,0.58376,0.41169,0.9894,0.97813,0.9659,0.98908,0.91347,0.35645,0.18214,0.80153,0.000604,0.000604,0.000604
122,0.58353,0.41025,0.99092,0.97932,0.9654,0.98917,0.91368,0.35581,0.1816,0.80116,0.0006007,0.0006007,0.0006007
123,0.57974,0.40805,0.98839,0.98036,0.96428,0.98921,0.91388,0.35539,0.18117,0.80089,0.0005974,0.0005974,0.0005974
124,0.58132,0.4082,0.99137,0.98086,0.96393,0.9892,0.91413,0.35485,0.18085,0.80059,0.0005941,0.0005941,0.0005941
125,0.58131,0.40836,0.98857,0.98101,0.96503,0.98923,0.91413,0.35479,0.18034,0.80038,0.0005908,0.0005908,0.0005908
126,0.57879,0.4026,0.9891,0.98137,0.96539,0.98939,0.91435,0.35455,0.17992,0.80015,0.0005875,0.0005875,0.0005875
127,0.5773,0.40268,0.98699,0.98094,0.96621,0.98945,0.91453,0.35409,0.17985,0.7999,0.0005842,0.0005842,0.0005842
128,0.58019,0.40378,0.98814,0.98164,0.96602,0.98946,0.91468,0.35367,0.17951,0.79953,0.0005809,0.0005809,0.0005809
129,0.57923,0.40318,0.98926,0.98189,0.96617,0.98949,0.91492,0.35328,0.17919,0.7992,0.0005776,0.0005776,0.0005776
