                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.67572,                0.51974,                 1.0317,                0.95772,                0.93178,                 0.9737,                0.87339,                0.42767,                0.25158,                0.83804,              0.0005545,              0.0005545,              0.0005545
                     47,                0.67568,                0.51933,                 1.0313,                 0.9595,                0.93171,                0.97411,                 0.8742,                0.42652,                0.25013,                0.83713,              0.0005446,              0.0005446,              0.0005446
                     48,                0.67316,                0.51799,                 1.0285,                0.95973,                 0.9325,                0.97447,                0.87509,                0.42481,                0.24825,                0.83587,              0.0005347,              0.0005347,              0.0005347
                     49,                0.66869,                0.50987,                  1.027,                0.96139,                0.93269,                0.97488,                0.87567,                0.42344,                0.24666,                0.83484,              0.0005248,              0.0005248,              0.0005248
                     50,                0.66774,                0.51304,                 1.0253,                 0.9603,                0.93429,                0.97518,                0.87622,                0.42199,                0.24503,                0.83386,              0.0005149,              0.0005149,              0.0005149
                     51,                0.66164,                0.50439,                 1.0219,                0.96183,                0.93332,                 0.9755,                0.87697,                0.42065,                0.24367,                0.83284,               0.000505,               0.000505,               0.000505
                     52,                0.66493,                0.50377,                 1.0237,                0.96328,                0.93397,                0.97582,                0.87791,                0.41923,                0.24245,                 0.8318,              0.0004951,              0.0004951,              0.0004951
                     53,                0.65656,                0.49738,                 1.0196,                0.96351,                0.93459,                0.97631,                0.87868,                0.41812,                0.24106,                0.83105,              0.0004852,              0.0004852,              0.0004852
                     54,                0.65661,                0.49788,                 1.0199,                0.96447,                0.93498,                0.97651,                 0.8792,                0.41695,                0.23954,                0.83023,              0.0004753,              0.0004753,              0.0004753
                     55,                0.65344,                0.49351,                 1.0171,                0.96179,                0.93713,                0.97674,                0.87985,                0.41577,                 0.2383,                0.82944,              0.0004654,              0.0004654,              0.0004654
                     56,                0.65401,                  0.496,                 1.0182,                0.96142,                0.93896,                0.97713,                0.88073,                0.41465,                0.23721,                 0.8288,              0.0004555,              0.0004555,              0.0004555
                     57,                0.64917,                0.48916,                  1.015,                0.95971,                0.94103,                0.97743,                0.88136,                0.41353,                0.23636,                0.82803,              0.0004456,              0.0004456,              0.0004456
                     58,                0.65022,                0.48993,                 1.0175,                 0.9638,                0.93818,                0.97765,                0.88162,                 0.4125,                0.23533,                0.82716,              0.0004357,              0.0004357,              0.0004357
                     59,                0.64425,                0.48461,                 1.0134,                0.96058,                0.94264,                0.97778,                 0.8823,                0.41112,                0.23423,                0.82638,              0.0004258,              0.0004258,              0.0004258
                     60,                0.64164,                0.47887,                 1.0112,                0.96133,                0.94147,                0.97813,                0.88292,                0.41054,                0.23286,                 0.8259,              0.0004159,              0.0004159,              0.0004159
                     61,                0.63958,                0.47791,                  1.013,                0.96219,                0.94143,                0.97818,                 0.8837,                 0.4092,                0.23153,                0.82529,               0.000406,               0.000406,               0.000406
                     62,                0.63679,                0.47407,                 1.0093,                0.96149,                0.94311,                0.97847,                0.88395,                0.40823,                0.23064,                0.82454,              0.0003961,              0.0003961,              0.0003961
