                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.61851,                0.45861,                 1.0233,                0.97065,                0.93689,                0.97846,                0.88467,                0.40275,                0.22318,                0.82793,              0.0003862,              0.0003862,              0.0003862
                     64,                0.61706,                0.45927,                 1.0246,                0.97161,                0.93709,                0.97886,                0.88492,                0.40194,                0.22226,                0.82731,              0.0003763,              0.0003763,              0.0003763
                     65,                0.61424,                0.45873,                 1.0273,                0.97197,                0.93729,                0.97923,                0.88534,                0.40113,                0.22125,                0.82681,              0.0003664,              0.0003664,              0.0003664
                     66,                 0.6119,                0.44895,                 1.0226,                0.97376,                0.93713,                0.97963,                0.88595,                0.40032,                 0.2204,                 0.8263,              0.0003565,              0.0003565,              0.0003565
                     67,                 0.6095,                0.44792,                 1.0226,                0.97333,                0.93689,                0.97999,                0.88658,                0.39907,                0.21933,                0.82576,              0.0003466,              0.0003466,              0.0003466
                     68,                0.60662,                0.44637,                 1.0198,                0.97381,                0.93701,                0.98015,                0.88701,                0.39831,                0.21848,                0.82541,              0.0003367,              0.0003367,              0.0003367
                     69,                0.60424,                0.44286,                 1.0188,                0.97309,                0.93736,                 0.9804,                 0.8877,                0.39741,                0.21754,                0.82495,              0.0003268,              0.0003268,              0.0003268
                     70,                0.60501,                0.44254,                 1.0158,                0.97069,                0.94011,                0.98048,                0.88809,                0.39647,                0.21655,                0.82442,              0.0003169,              0.0003169,              0.0003169
                     71,                0.59751,                0.43967,                 1.0163,                0.97074,                0.94029,                0.98065,                0.88869,                0.39578,                0.21583,                0.82402,               0.000307,               0.000307,               0.000307
                     72,                0.60034,                 0.4356,                 1.0146,                0.97103,                 0.9408,                0.98078,                 0.8894,                0.39488,                0.21495,                0.82365,              0.0002971,              0.0002971,              0.0002971
                     73,                0.59802,                0.43552,                 1.0145,                0.97104,                0.94173,                0.98088,                0.89012,                0.39365,                0.21393,                0.82308,              0.0002872,              0.0002872,              0.0002872
                     74,                 0.5955,                0.43292,                 1.0151,                 0.9713,                0.94211,                0.98126,                0.89083,                 0.3929,                0.21316,                0.82258,              0.0002773,              0.0002773,              0.0002773
                     75,                 0.5912,                0.42991,                 1.0143,                0.97069,                 0.9437,                0.98123,                0.89119,                0.39212,                0.21236,                0.82225,              0.0002674,              0.0002674,              0.0002674
                     76,                0.59301,                0.42962,                 1.0119,                0.96953,                 0.9456,                0.98157,                0.89155,                0.39142,                0.21156,                0.82185,              0.0002575,              0.0002575,              0.0002575
                     77,                0.58734,                0.42494,                 1.0082,                 0.9694,                0.94599,                0.98166,                0.89208,                0.39072,                0.21098,                0.82132,              0.0002476,              0.0002476,              0.0002476
                     78,                0.58718,                0.42527,                 1.0105,                0.97009,                0.94633,                 0.9818,                 0.8928,                0.38994,                0.21032,                0.82077,              0.0002377,              0.0002377,              0.0002377
                     79,                0.58547,                0.42242,                 1.0076,                0.97115,                0.94596,                0.98196,                0.89315,                0.38915,                 0.2097,                0.82018,              0.0002278,              0.0002278,              0.0002278
                     80,                0.58109,                0.41703,                 1.0034,                0.97087,                0.94649,                0.98229,                0.89336,                 0.3885,                0.20922,                0.81962,              0.0002179,              0.0002179,              0.0002179
                     81,                 0.5823,                0.41678,                 1.0055,                0.97292,                0.94521,                0.98253,                0.89384,                0.38811,                0.20866,                0.81921,               0.000208,               0.000208,               0.000208
                     82,                0.57984,                0.41454,                 1.0026,                 0.9709,                 0.9482,                0.98272,                0.89393,                0.38729,                0.20824,                0.81878,              0.0001981,              0.0001981,              0.0001981
                     83,                0.57655,                0.41061,                 1.0025,                0.97066,                0.94896,                0.98293,                0.89446,                0.38668,                0.20751,                0.81839,              0.0001882,              0.0001882,              0.0001882
                     84,                0.57744,                0.41185,                 1.0044,                0.97039,                0.94971,                0.98311,                0.89495,                0.38606,                0.20708,                0.81811,              0.0001783,              0.0001783,              0.0001783
                     85,                0.57523,                0.41144,                 1.0046,                0.97042,                0.95041,                0.98319,                0.89516,                0.38534,                0.20646,                0.81778,              0.0001684,              0.0001684,              0.0001684
                     86,                0.57122,                0.40435,                 1.0009,                0.97056,                0.95039,                0.98315,                0.89587,                0.38484,                0.20559,                0.81745,              0.0001585,              0.0001585,              0.0001585
                     87,                 0.5725,                0.41102,                 1.0027,                0.97077,                0.95064,                0.98324,                  0.896,                0.38407,                0.20509,                0.81704,              0.0001486,              0.0001486,              0.0001486
                     88,                0.56657,                0.40073,                0.99957,                0.97438,                0.94723,                0.98355,                0.89624,                0.38342,                0.20432,                0.81674,              0.0001387,              0.0001387,              0.0001387
                     89,                0.57087,                0.40373,                 1.0022,                0.97424,                0.94805,                0.98376,                0.89701,                0.38297,                  0.204,                0.81647,              0.0001288,              0.0001288,              0.0001288
                     90,                  0.448,                0.25041,                0.89836,                0.97367,                0.94933,                0.98382,                0.89712,                0.38212,                0.20328,                0.81624,              0.0001189,              0.0001189,              0.0001189
                     91,                0.44267,                0.24497,                0.89749,                0.97287,                0.94976,                0.98395,                0.89764,                0.38132,                0.20279,                0.81602,               0.000109,               0.000109,               0.000109
                     92,                0.44141,                0.24179,                0.89599,                0.97311,                0.95066,                0.98416,                0.89819,                0.38056,                 0.2023,                0.81575,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.43676,                 0.2395,                0.89298,                0.97322,                0.95066,                0.98422,                0.89854,                 0.3796,                0.20171,                0.81533,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.43486,                0.23834,                0.89155,                0.97338,                0.95117,                0.98428,                0.89913,                 0.3791,                 0.2013,                0.81503,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 0.4326,                0.23548,                0.89108,                0.97325,                0.95231,                0.98441,                0.89951,                0.37846,                0.20091,                0.81478,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.43295,                0.23479,                0.89217,                0.97263,                0.95316,                0.98444,                0.89981,                0.37784,                0.20015,                0.81449,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.43089,                0.23309,                0.89091,                0.97311,                0.95361,                0.98451,                    0.9,                0.37723,                0.19966,                0.81425,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.42714,                0.23048,                0.89006,                0.97271,                0.95449,                0.98451,                0.90016,                0.37653,                0.19923,                0.81395,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.42465,                0.22816,                0.88743,                0.97296,                0.95497,                 0.9847,                0.90032,                0.37622,                0.19908,                0.81372,               2.98e-05,               2.98e-05,               2.98e-05
